,Y,buzz_News,buzz_News_Headline,buzz_News_Social,buzz_Social,innovation_News,innovation_News_Headline,innovation_News_Social,innovation_Social,laborDispute_News,laborDispute_News_Headline,laborDispute_News_Social,laborDispute_Social,layoffs_News,layoffs_News_Headline,layoffs_News_Social,layoffs_Social,managementTrust_News,managementTrust_News_Headline,managementTrust_News_Social,managementTrust_Social,mentions_News,mentions_News_Headline,mentions_News_Social,mentions_Social,ticker_
162,2022,58022.95,2090.8,60700.95,2678.0,0.043956,0.153846,0.021505,0.0,0.077612,0.0,0.077612,0.0,0.027778,0.0,0.027778,0.0,0.027939,0.0,0.026184,0.0,5778.0,924.0,6639.0,861.0,NXT
163,2023,14370.0,275.0,15024.7,654.7,0.027491,0.0,0.030303,0.166667,0.110169,0.0,0.102362,0.058824,0.0,0.0,0.0,0.0,0.026667,0.086957,0.022727,0.0,1937.0,159.0,2088.0,151.0,NXT
164,2022,84902.95,2583.5,113569.8,28666.85,0.097933,1.0,0.10464,0.170213,0.030303,0.136364,0.024793,0.021978,0.181818,0.0,0.017094,0.012821,0.0384,0.0,0.030691,0.029851,17149.0,1406.0,30367.0,13218.0,BA.
165,2023,42635.5,1190.0,53369.1,10733.6,0.108108,0.25,0.041322,0.090909,0.05314,0.266667,0.057143,0.078947,0.0,0.0,0.000734,0.002134,0.033058,0.0,0.030488,0.071429,8188.0,690.0,12881.0,4693.0,BA.
166,2022,45926.45,1874.0,53624.4,7697.95,0.153846,0.0,0.25,0.25,0.00191,0.0,0.008197,0.010638,0.035088,0.0,0.025,0.0,0.05,0.0,0.054545,0.292683,9442.0,945.0,11965.0,2523.0,BRBY
167,2023,28091.1,1503.0,32013.9,3922.8,0.0625,0.0,0.111111,0.333333,0.0003,0.0,0.000278,0.0,0.0,0.0,0.0,0.0,0.034783,0.0,0.0625,0.0625,5588.0,486.0,6691.0,1103.0,BRBY
168,2022,9444.0,757.5,12530.0,3086.0,0.166667,0.0,0.166667,0.125,0.0,0.0,0.035714,0.043478,0.0,0.0,1.0,1.0,0.070922,0.0,0.070922,0.0,1675.0,206.0,2818.0,1143.0,JD.
169,2023,999.0,57.5,1136.5,137.5,0.0,0.0,0.0,0.0,0.051282,0.0,0.051282,0.0,0.0,0.0,0.0,0.0,0.102564,0.0,0.102564,0.0,249.0,28.0,305.0,56.0,JD.
170,2022,5225.0,149.0,9060.5,3835.5,0.333333,0.0,0.333333,0.018868,0.072289,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.105263,0.0,0.108108,0.153846,1614.0,148.0,1975.0,361.0,FRAS
171,2023,597.5,24.0,1155.5,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055556,0.055556,0.0,0.0,0.0,0.0,0.0,0.0,0.034483,0.034483,296.0,27.0,339.0,43.0,FRAS
172,2022,4850.95,223.0,5122.95,272.0,0.056338,0.0,0.066667,0.066667,0.0,0.0,0.086957,0.086957,0.0,0.0,0.0,0.0,0.016878,0.0,0.01675,0.0,1054.0,122.0,1290.0,236.0,RS1
173,2023,1185.0,64.5,1641.0,456.0,0.0,0.0,0.002375,0.002375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303,0.0,0.030303,0.001188,443.0,59.0,471.0,28.0,RS1
