No,Ticker,Name,Currency,MarketCap,Price,Query
91,RR.,ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P,GBX,"13,162.23",156.1,RR.L
92,HLMA,HALMA PLC ORD 10P,GBX,"9,320.29","2,429.00",HLMA.L
93,AHT,ASHTEAD GROUP PLC ORD 10P,GBX,"21,903.24","4,933.00",AHT.L
94,NXT,NEXT PLC ORD 10P,GBX,"8,529.01","6,556.00",NXT.L
95,BA.,BAE SYSTEMS PLC ORD 2.5P,GBX,"30,104.46",966.8,BAES.L
96,BRBY,BURBERRY GROUP PLC ORD 0.05P,GBX,"8,816.23","2,273.00",BRBY.L
97,JD.,JD SPORTS FASHION PLC ORD 0.05P,GBX,"8,273.65",155.5,JD.L
98,FRAS,FRASERS GROUP PLC ORD 10P,GBX,"3,499.05",724,FRAS.L
99,RS1,RS GROUP PLC ORD 10P,GBX,"4,032.04",816.4,RS1R.L
100,BME,B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI),GBX,"4,909.08",465.9,BMEB.L
