versionCreated,text,storyId,sourceCode
2022-11-09 05:13:00.217000+00:00,STANDARD CHARTERED PLC <STAN.L>: CREDIT SUISSE CUTS TARGET PRICE TO 535P FROM 540P,urn:newsml:newswire.refinitiv.com:20221109:nFWN3250BV:1,NS:RTRS
2022-11-08 13:15:01.523000+00:00,STANDARD CHRTRD PLC  - PUBLICATION OF CONSENT SOLICITATION MEMORANDUM,urn:newsml:newswire.refinitiv.com:20221108:nTUC3GRM1F:1,NS:RTRS
2022-11-04 05:10:09+00:00,BREAKINGVIEWS-HSBC and StanChart give Hong Kong sport trial run,urn:newsml:newswire.refinitiv.com:20221104:nL1N32005B:11,NS:RTRS
2022-11-03 18:14:19+00:00,Ugandan lawmakers sign off on $464 million infrastructure loan,urn:newsml:newswire.refinitiv.com:20221103:nL8N31Z8AC:2,NS:RTRS
2022-11-03 17:11:25+00:00,SocGen appoints Stephane Landon as chief risk officer,urn:newsml:newswire.refinitiv.com:20221103:nFWN31ZBRG:4,NS:RTRS
2022-11-03 08:34:22+00:00,STANDARD CHARTERED <2888.HK> SAYS TO RAISE BEST LENDING RATE IN HONG KONG BY 25 BASIS POINTS T0 5.625%,urn:newsml:newswire.refinitiv.com:20221103:nL4N31Y1HB:2,NS:RTRS
2022-11-03 04:51:11+00:00,BRIEF-Standard Chartered Says Unit Entered Share Subscription Agreement With Partior Pte. Ltd.,urn:newsml:newswire.refinitiv.com:20221103:nFWN31Y907:1,NS:RTRS
2022-11-03 04:22:10.529000+00:00,STANDARD CHARTERED - SUBSCRIPTION IN ORDER TO ACQUIRE 25% STAKE IN PARTIOR,urn:newsml:newswire.refinitiv.com:20221103:nFWN31Y907:5,NS:RTRS
2022-11-03 04:21:28.766000+00:00,STANDARD CHARTERED - STANDARD CHARTERED OVERSEAS HOLDINGS LTD TO SUBSCRIBE FOR SHARES IN PARTIOR FOR TOTAL SUBSCRIPTION PRICE OF US$23.3 MLN,urn:newsml:newswire.refinitiv.com:20221103:nFWN31Y907:4,NS:RTRS
2022-11-03 04:20:01.954000+00:00,STANDARD CHARTERED PLC - UNIT TO SUBSCRIBE FOR SHARES IN PARTIOR AT PRICE OF US$2.573 PER SHARE,urn:newsml:newswire.refinitiv.com:20221103:nFWN31Y907:3,NS:RTRS
2022-11-03 04:19:16.249000+00:00,STANDARD CHARTERED PLC - ENTRY INTO SHARE SUBSCRIPTION AGREEMENT WITH PARTIOR PTE. LTD.,urn:newsml:newswire.refinitiv.com:20221103:nFWN31Y907:2,NS:RTRS
2022-11-03 04:19:15.744000+00:00,STANDARD CHARTERED PLC - ENTRY INTO SHARE SUBSCRIPTION AGREEMENT WITH PARTIOR PTE. LTD.,urn:newsml:newswire.refinitiv.com:20221103:nFWN31Y907:1,NS:RTRS
2022-11-02 12:05:12+00:00,BRIEF-StanChart Appoints Amit Puri As Global Head of Sustainable Finance,urn:newsml:newswire.refinitiv.com:20221102:nL8N31Y4N5:1,NS:RTRS
2022-11-02 11:53:23+00:00,"STANDARD CHARTERED <STAN.L> APPOINTS AMIT PURI AS GLOBAL HEAD, SUSTAINABLE FINANCE",urn:newsml:newswire.refinitiv.com:20221102:nL8N31Y4N5:1,NS:RTRS
2022-11-02 09:07:38+00:00,"REFILE-Uganda to borrow 455 million euros from Standard Chartered, other lenders",urn:newsml:newswire.refinitiv.com:20221101:nL8N31X4TI:2,NS:RTRS
2022-11-02 08:15:57+00:00,UPDATE 1-HK digital bank Mox to break even as early as end-2023 - StanChart CEO,urn:newsml:newswire.refinitiv.com:20221102:nL1N31Y0HS:6,NS:RTRS
2022-11-02 04:30:40+00:00,"HK digital bank Mox to break even towards end of next year, says StanChart CEO",urn:newsml:newswire.refinitiv.com:20221102:nL4N31Y180:6,NS:RTRS
2022-11-02 04:18:09+00:00,STANDARD CHARTERED <STAN.L> CEO SAYS HONG KONG DIGITAL BANK MOX WILL BREAK EVEN TOWARDS END OF NEXT YEAR OR EARLY 2024,urn:newsml:newswire.refinitiv.com:20221102:nL4N31Y180:1,NS:RTRS
2022-10-31 15:49:51+00:00,UPDATE 2-Hong Kong bets on summit to herald its comeback as financial hub,urn:newsml:newswire.refinitiv.com:20221031:nL1N31W0LQ:3,NS:RTRS
2022-10-31 09:27:43.993000+00:00,STANDARD CHARTERED PLC <STAN.L>: UBS CUTS TARGET PRICE TO 787P FROM 855P,urn:newsml:newswire.refinitiv.com:20221031:nFWN31W3PM:1,NS:RTRS
2022-10-31 07:20:27+00:00,"Hong Kong eyes return to global financial map with summit amid talent crunch, geo-tension",urn:newsml:newswire.refinitiv.com:20221031:nL4N31T1J5:4,NS:RTRS
2022-10-31 06:23:19.382000+00:00,STANDARD CHARTERED PLC <STAN.L>: CITIGROUP RAISES PRICE TARGET TO 620P FROM 590P,urn:newsml:newswire.refinitiv.com:20221031:nFWN31W1YP:2,NS:RTRS
2022-10-27 05:48:46.266000+00:00,STANDARD CHARTERED PLC <STAN.L>: BARCLAYS CUTS TARGET PRICE TO 750P FROM 800P,urn:newsml:newswire.refinitiv.com:20221027:nAZN0OCES8:1,NS:RTRS
