,Instrument,ESG Controversies Score Grade,ESG Controversies Score,Date,,TR.TRESGCCONTROVERSIESSCOREGRADE,TR.TRESGCCONTROVERSIESSCORE,TR.TRESGCCONTROVERSIESSCORE.DATE
2,ENR1n.DE,A+,100.0,2020-09-30T00:00:00Z,,,,
0,SHLG.DE,A+,100.0,2022-09-30T00:00:00Z,,,,
1,SHLG.DE,A+,100.0,2021-09-30T00:00:00Z,,,,
2,SHLG.DE,A+,100.0,2020-09-30T00:00:00Z,,,,
3,SHLG.DE,A+,100.0,2019-09-30T00:00:00Z,,,,
4,SHLG.DE,A+,100.0,2018-09-30T00:00:00Z,,,,
0,SY1G.DE,A+,100.0,2021-12-31T00:00:00Z,,,,
1,SY1G.DE,B,59.0909090909091,2020-12-31T00:00:00Z,,,,
2,SY1G.DE,A,89.2857142857142,2019-12-31T00:00:00Z,,,,
3,SY1G.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,SY1G.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,SY1G.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,SY1G.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,SY1G.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
8,SY1G.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
9,SY1G.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,SY1G.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,VOWG_p.DE,A+,100.0,2022-12-31T00:00:00Z,,,,
1,VOWG_p.DE,D-,3.06122448979591,2021-12-31T00:00:00Z,,,,
2,VOWG_p.DE,D-,1.06382978723404,2020-12-31T00:00:00Z,,,,
3,VOWG_p.DE,D-,3.65853658536585,2019-12-31T00:00:00Z,,,,
4,VOWG_p.DE,D-,1.28205128205128,2018-12-31T00:00:00Z,,,,
5,VOWG_p.DE,D-,1.21951219512195,2017-12-31T00:00:00Z,,,,
6,VOWG_p.DE,D-,1.42857142857142,2016-12-31T00:00:00Z,,,,
7,VOWG_p.DE,D-,1.92307692307692,2015-12-31T00:00:00Z,,,,
8,VOWG_p.DE,D,9.72222222222222,2014-12-31T00:00:00Z,,,,
9,VOWG_p.DE,B,62.8571428571428,2013-12-31T00:00:00Z,,,,
10,VOWG_p.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
0,VNAn.DE,C,41.3043478260869,2021-12-31T00:00:00Z,,,,
1,VNAn.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,VNAn.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,VNAn.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,VNAn.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,VNAn.DE,B+,75.0,2016-12-31T00:00:00Z,,,,
6,VNAn.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
0,ZALG.DE,A+,100.0,2021-12-31T00:00:00Z,,,,
1,ZALG.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,ZALG.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,ZALG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,ZALG.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,ZALG.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,ZALG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
