versionCreated,text,storyId,sourceCode
2022-03-11 07:00:07.371000+00:00,SECURE TRUST BANKPLC  - DISPOSAL: SALE OF LOAN PORTFOLIO,urn:newsml:newswire.refinitiv.com:20220311:nTUC87T3wk:1,NS:RTRS
2022-03-11 07:00:05.302000+00:00,SECURE TRUST BANKPLC  - DISPOSAL: SALE OF LOAN PORTFOLIO,urn:newsml:newswire.refinitiv.com:20220311:nASM00037C:1,NS:RTRS
2023-04-14 08:28:51.588000+00:00,"SECURE TRUST BANK PLC <STBS.L>: CANACCORD GENUITY RAISES TARGET PRICE TO 1,785P FROM 1,766P",urn:newsml:newswire.refinitiv.com:20230414:nFWN36H0VH:1,NS:RTRS
2023-04-04 04:48:03.409000+00:00,SECURE TRUST BANK PLC <STBS.L>: PEEL HUNT CUTS TARGET PRICE TO 989P FROM 991P,urn:newsml:newswire.refinitiv.com:20230404:nFWN3670IM:1,NS:RTRS
2023-03-30 06:49:22+00:00,BRIEF-Secure Trust Bank FY Total Profit Before Tax Of £44 Mln,urn:newsml:newswire.refinitiv.com:20230330:nFWN3620EJ:1,NS:RTRS
2023-03-30 06:39:28.129000+00:00,BRIEF-Secure Trust Bank FY Pretax Profit of 44 MLN STG,urn:newsml:newswire.refinitiv.com:20230330:nPlx3wmGgc:1,NS:RTRS
2023-03-30 06:37:50+00:00,BRIEF-Secure Trust Bank Says Lord Forsyth To Retire As Chairman,urn:newsml:newswire.refinitiv.com:20230330:nFWN36203R:1,NS:RTRS
2023-03-30 06:14:14.768000+00:00,SECURE TRUST BANK PLC - FY TOTAL PROFIT BEFORE TAX OF £44.0 MLN (2021: £56.0 MLN),urn:newsml:newswire.refinitiv.com:20230330:nFWN3620EJ:1,NS:RTRS
2023-03-30 06:02:18.495000+00:00,SECURE TRUST BANK PLC - BOARD HAS COMMENCED A PROCESS FOR APPOINTMENT OF A SUCCESSOR,urn:newsml:newswire.refinitiv.com:20230330:nFWN36203R:3,NS:RTRS
2023-03-30 06:02:04.428000+00:00,SECURE TRUST BANK PLC - LORD FORSYTH HAS INFORMED BOARD OF HIS INTENTION TO RETIRE AS CHAIRMAN OF COMPANY AT ANNUAL GENERAL MEETING IN 2024,urn:newsml:newswire.refinitiv.com:20230330:nFWN36203R:2,NS:RTRS
2023-03-30 06:01:52.974000+00:00,SECURE TRUST BANKPLC  - CHAIRMAN TO RETIRE AGM 2024,urn:newsml:newswire.refinitiv.com:20230330:nFWN36203R:1,NS:RTRS
2023-03-30 06:00:11.035000+00:00,SECURE TRUST BANK FY BASIC EPS GBP 1.805,urn:newsml:newswire.refinitiv.com:20230330:nPlx3wmGgc:2,NS:RTRS
2023-03-30 06:00:11.009000+00:00,SECURE TRUST BANK FY PRETAX PROFIT GBP 44 MILLION,urn:newsml:newswire.refinitiv.com:20230330:nPlx3wmGgc:1,NS:RTRS
2023-03-17 13:58:57.066000+00:00,SECURE TRUST BANKPLC  - BUYBACK OF TIER 2 BONDS,urn:newsml:newswire.refinitiv.com:20230317:nTUC4PCZVM:1,NS:RTRS
2023-01-20 07:08:07.713000+00:00,SECURE TRUST BANK PLC <STBS.L>: BERENBERG CUTS TARGET PRICE TO 1420P FROM 1820P,urn:newsml:newswire.refinitiv.com:20230120:nFWN3450TP:1,NS:RTRS
2023-01-19 07:00:05.392000+00:00,SECURE TRUST BANKPLC  - PRE CLOSE TRADING UPDATE,urn:newsml:newswire.refinitiv.com:20230119:nTUC42YJJS:1,NS:RTRS
2023-01-12 10:40:37.826000+00:00,SECURE TRUST BANK PLC <STBS.L>: CANACCORD GENUITY CUTS TARGET PRICE TO 1766P FROM 1768P,urn:newsml:newswire.refinitiv.com:20230112:nFWN33X23J:1,NS:RTRS
2023-01-06 05:48:34.025000+00:00,SECURE TRUST BANK PLC <STBS.L>: PEEL HUNT CUTS TARGET PRICE TO 991P FROM 1145P,urn:newsml:newswire.refinitiv.com:20230106:nFWN33R0JA:1,NS:RTRS
